ConnectionsV1		#AEE446
backport v9.1.x	Bot will automatically open backport PR	#d93f0b
backport v9.2.x	Mark PR for automatic backport to v9.2.x	#D93F0B
backport v9.3.x		#BF4500
backport v9.4.x	Mark PR for automatic backport to v9.4.x	#d93f0b
backport v9.5.x	Bot will automatically open backport PR	#0E8A16
backport-failed	Failed to generate backport PR. Please resolve conflicts and create one manually.	#B60205
beginner friendly		#c2e0c6
blocked	Issue awaiting a resolution or consencus before moving on	#CF7E6F
bot/close feature request	Bot will close issue with standard message	#b2ffcc
bot/duplicate	Bot will close issue with standard duplicate message and add label type/duplicate	#b2ffcc
bot/needs more info	Bot will request more info	#b2ffcc
bot/no new info	Bot will automatically close issue with standard message	#b2ffcc
bot/question	Bot will close with standard question comment and add label type/question	#b2ffcc
breaking change	Relevant for changelog generation	#b60205
bug-bash		#55C4E2
champions	Issues or PRs for/done by Grafana Champions	#d4c5f9
component/logql		#BF4A1A
datasource/Alertmanager	Alertmanager data source	#85c92c
datasource/Azure	Azure Monitor Datasource	#85c92c
datasource/BigQuery		#85c92c
datasource/CSV		#85c92c
datasource/CloudWatch		#85c92c
datasource/CloudWatch Logs	Issues related to Cloudwatch Logs in the Cloudwatch data source.	#85c92c
datasource/Elasticsearch		#85c92c
datasource/GitHub		#85c92c
datasource/GoogleCloudMonitoring		#85c92c
datasource/GoogleSheets		#85c92c
datasource/Grafana		#85c92c
datasource/Graphite		#85c92c
datasource/InfluxDB		#85c92c
datasource/JSON		#85c92c
datasource/Jaeger		#85c92c
datasource/Loki		#85c92c
datasource/MSSQL	Microsoft SQL Server Data Source	#85c92c
datasource/MySQL		#85c92c
datasource/OpenSearch		#85c92c
datasource/OpenTSDB		#85c92c
datasource/Parca	Parca datasource	#85c92c
datasource/Phlare	Phlare datasource	#85c92c
datasource/Postgres		#85c92c
datasource/Prometheus		#85c92c
datasource/SiteWIse		#85c92c
datasource/Splunk		#5CB924
datasource/Tempo		#85c92c
datasource/TestDataDB	Grafana's builtin test data source	#85c92c
datasource/Timestream		#85c92c
datasource/X-Ray		#85c92c
datasource/Zabbix		#85c92c
datasource/Zipkin		#85c92c
datasource/grafana-pyroscope	Grafana pyroscope datasource (previously Phlare)	#85c92c
dependencies	Pull requests that update a dependency file	#0366d6
deploy-storybook		#7b33aa
design-system	Issues related to the work of the Grafana Labs Design System	#FF8833
design-system: component	Issues related to components of the Grafana Labs Design System	#1D76DB
design-system: dev work	Dev only issues of the design system	#1D76DB
design-system: documentation	Issues related to design system documentation	#1D76DB
design-system: pattern	Issues related to patterns of the Grafana Labs Design System	#1D76DB
discussion/consideration	Makes sense as a feature request we don't know when or whether we will do it yet	#DFBA0B
discussion/resolved	Mark discussion as something we are going to implement and was moved to issues..	#C2E0C6
dogfooding	Label to add to a bug found before release	#F35F92
effort/large		#FEA73A
effort/medium		#5A923E
effort/none		#FBCA04
effort/small		#a2f379
effort/x-large		#E03B34
enterprise-failed		#ededed
enterprise-ko		#ededed
enterprise-ok		#ededed
